,Category,x
1313,,60303
5012,,36662
5094,,32353
986,,20285
1951,,19198
3395,oil,11887
4312,salt,11696
2694,,11385
135,,11230
3860,,10803
2420,,9775
4940,sugar,9121
1359,,8597
2465,,8565
4,,8540
3650,pepper,8287
2187,,7720
3415,olive,7376
3476,,7283
663,butter,6961
2536,juice,6875
4632,,6669
2026,garlic,6519
1809,,6377
3427,onion,6293
3627,,6057
4093,,5888
2742,lemon,5882
3477,,5544
1619,egg,5212
2150,,5156
5399,,5149
3118,,5106
5600,,4908
5546,water,4854
1236,cream,4762
1551,,4736
424,,4727
1051,clove,5868
2724,leaf,4486
1875,flour,4116
4859,,4077
3787,,4043
3713,,3936
937,chicken,3784
1954,,3780
3054,,3754
5157,,3741
1903,,3657
5504,vinegar,3643
2163,,3627
5606,,3520
89,,3432
5463,vegetable,3424
5622,wine,3366
4650,,3340
5223,tomato,3323
3979,,3297
909,cheese,3211
2647,,3107
1567,,3048
3514,,3027
1063,,2830
4349,sauce,2770
2238,,2768
1500,,2759
3574,parsley,2734
4630,,2716
5143,,2576
1722,,2542
3442,orange,2537
4433,seed,2486
611,broth,2485
5634,,2439
3108,milk,2434
3870,,2429
5449,vanilla,2354
5286,,2300
5512,,2277
2781,lime,2266
4934,,2086
1543,,2076
729,,1963
2071,ginger,1961
5172,thyme,1926
4791,,1907
1459,,1890
1971,,1890
280,,1851
2750,,1798
614,,1786
4167,rice,1770
5074,,1755
5199,,1745
3243,mustard,1727
3854,potato,1705
3183,,1703
4434,,1688
1298,,1687
2854,,1687
1981,,1686
1010,cilantro,1683
1012,cinnamon,1646
5102,,1610
4235,,1608
4486,shallot,1600
338,bean,1590
951,,1577
801,carrot,1560
2290,,1549
743,,1544
367,,1527
1282,,1522
565,bread,1516
1723,extract,1512
3626,peel,1496
1289,,1481
852,celery,1420
1062,,1404
3439,,1370
1052,,1347
321,basil,1313
2717,leaf,1310
3763,,1309
5593,,1306
3889,,1296
3128,mint,1271
2030,,1259
3999,,1254
1273,,1252
2399,ice,1249
4903,,1245
5153,,1242
2372,,1232
974,,1229
3353,,1228
1677,,1221
5700,zest,1216
1808,,1196
1311,cumin,1191
641,,1164
2477,,1154
1179,corn,1153
5132,,1140
4410,,1137
5414,,1135
4129,,1122
4982,,1122
3238,mushroom,1121
2769,,1112
2230,,1101
1595,,1099
949,chili,1087
93,almond,1084
5673,,1075
334,bay,1074
2353,honey,1073
3570,parmesan,1065
353,beef,1063
5564,wedge,1063
4850,,1060
4746,,1058
5680,yolk,1033
1466,,1031
4730,soy,1031
4189,,1019
1848,,1010
4241,rosemary,1010
4160,rib,1005
493,,991
3065,,989
5131,,987
2277,,984
3740,,977
3473,,964
4723,,961
1799,,951
3511,,951
4380,scallion,949
1384,,937
254,,935
1173,,928
1754,fat,921
4994,syrup,912
2111,,904
3593,,901
4473,sesame,899
1156,,895
4192,,884
5576,,884
17,,876
2771,,866
171,apple,864
970,chive,840
1771,fennel,839
3839,pork,830
4690,,818
244,,806
3449,oregano,801
945,chili,790
1077,coconut,790
846,cayenne,788
1175,coriander,780
5679,yogurt,778
263,bacon,771
5325,turkey,770
1007,cider,766
2484,jalapenoes,760
4871,stock,754
1094,,752
3035,mayonnaise,750
2834,,749
573,,744
4684,soda,732
3576,,729
4472,,727
1901,,726
3413,olive,725
3770,,714
3790,plum,712
342,beaten,696
946,chile,692
4828,,691
1836,,690
3371,nutmeg,688
34,,668
4257,,659
4205,,655
220,,647
289,balsamic,645
4661,,643
5533,walnut,643
3610,pea,641
3533,,638
4522,sherry,637
5487,,632
3558,paprika,630
4560,shrimp,630
4558,,626
4618,,624
1826,,620
1188,cornstarch,615
3651,peppercorn,609
3714,,609
5252,,608
2139,,607
5069,tarragon,606
1468,dill,603
4617,,601
1489,,589
1305,cucumber,577
4294,sage,576
4607,,576
2235,,570
2127,grain,556
4841,steak,552
3429,,550
3749,,550
5239,,543
4765,spinach,541
3141,,539
2988,,536
4786,,536
4685,,533
422,,526
4964,,524
922,cherry,519
4851,,513
3871,,509
4031,raisin,509
555,brandy,505
635,,505
3614,peanut,505
4701,some,501
675,buttermilk,494
2682,lamb,493
4922,,492
4143,,483
3974,,478
2734,leek,476
4747,,476
179,apricot,475
5393,,472
3369,nut,466
1829,fish,459
3619,pecan,456
4269,rum,455
5084,,455
170,apple,454
3338,,447
3592,,445
5306,,444
5599,,444
92,allspice,441
4462,,441
3995,,434
4518,,433
4893,strawberry,429
515,,425
2759,lettuce,424
5710,zucchini,424
1450,,423
210,arugula,422
1187,cornmeal,422
5611,,422
4774,,420
3615,pear,419
683,cabbage,418
4812,squash,417
2806,liqueur,415
